MAP final,Fri, 13 Jan 2023 16:10:17 EET
Method,CogC,v(G)
com.example.map_toysocialnetwork_javafx.gui.MainWindow.getFriendRequestsSent(),0,1
com.example.map_toysocialnetwork_javafx.gui.MainWindow.getFriendsDto(String),0,1
com.example.map_toysocialnetwork_javafx.gui.MainWindow.getUsersNotFriends(),0,1
com.example.map_toysocialnetwork_javafx.gui.MainWindow.initialize(),0,1
com.example.map_toysocialnetwork_javafx.gui.MainWindow.logOut(),0,1
com.example.map_toysocialnetwork_javafx.gui.MainWindow.onFalseButtonPressed(),2,3
com.example.map_toysocialnetwork_javafx.gui.MainWindow.onTrueButtonPressed(),6,5
com.example.map_toysocialnetwork_javafx.gui.MainWindow.populateDiscover(),1,2
com.example.map_toysocialnetwork_javafx.gui.MainWindow.populateFriends(),1,2
com.example.map_toysocialnetwork_javafx.gui.MainWindow.populateRequests(),1,2
com.example.map_toysocialnetwork_javafx.gui.MainWindow.populateSentReq(),1,2
com.example.map_toysocialnetwork_javafx.gui.MainWindow.selectedItemFromTable(),0,1
"com.example.map_toysocialnetwork_javafx.gui.MainWindow.setAll(UserService, FriendshipService, MessageService, User)",0,1
com.example.map_toysocialnetwork_javafx.gui.MainWindow.setFriendshipService(FriendshipService),0,1
com.example.map_toysocialnetwork_javafx.gui.MainWindow.setLoggedUser(User),0,1
com.example.map_toysocialnetwork_javafx.gui.MainWindow.setUserService(UserService),0,1
com.example.map_toysocialnetwork_javafx.gui.RegisterWindow.closeWindow(),0,1
com.example.map_toysocialnetwork_javafx.gui.RegisterWindow.registerPressed(),2,3
com.example.map_toysocialnetwork_javafx.gui.RegisterWindow.setFriendshipService(FriendshipService),0,1
com.example.map_toysocialnetwork_javafx.gui.RegisterWindow.setMessageService(MessageService),0,1
com.example.map_toysocialnetwork_javafx.gui.RegisterWindow.setUserService(UserService),0,1
"com.example.map_toysocialnetwork_javafx.repository.db.DbFriendshipRepository.DbFriendshipRepository(Validator<Friendship>, String, String, String)",0,1
"com.example.map_toysocialnetwork_javafx.repository.db.DbFriendshipRepository.delete(Long, Long)",4,4
"com.example.map_toysocialnetwork_javafx.repository.db.DbFriendshipRepository.discoverNew(Long, long)",6,7
com.example.map_toysocialnetwork_javafx.repository.db.DbFriendshipRepository.getFriendRequestsSent(Long),2,3
"com.example.map_toysocialnetwork_javafx.repository.db.DbFriendshipRepository.getFriendsFrom(Long, Long)",2,3
"com.example.map_toysocialnetwork_javafx.repository.db.DbFriendshipRepository.getRequests(Long, String)",11,9
com.example.map_toysocialnetwork_javafx.repository.db.DbFriendshipRepository.loadData(),2,3
com.example.map_toysocialnetwork_javafx.repository.db.DbFriendshipRepository.save(Friendship),3,3
"com.example.map_toysocialnetwork_javafx.repository.db.DbFriendshipRepository.setConfirm(Long, Long)",1,2
"com.example.map_toysocialnetwork_javafx.repository.db.DbMessageRepository.DbMessageRepository(Validator<Message>, String, String, String)",0,1
